asset,policy,delay_ms,fee_bps,fill_fraction,adverse_selection_bps,daily_utility_difference,mlp_minus_logistic_utility,mlp_minus_logistic_f1,opposite_mean_directions
BTC,argmax,0,0,0.25,0,"[-0.003146484444403283, 0.014082748638292612, -0.005875990975863818]",0.0016867577393418372,0.17993554428546674,False
BTC,argmax,0,0,0.25,1,"[0.0377233225979105, 0.12940746275332937, 0.05717555014192621]",0.07476877849772202,0.17993554428546674,False
BTC,argmax,0,0,0.25,5,"[0.20120255076716587, 0.590706319213476, 0.3093817146130863]",0.3670968615312427,0.17993554428546674,False
BTC,argmax,0,0,0.5,0,"[-0.006292968888806566, 0.028165497276585225, -0.011751981951727636]",0.0033735154786836744,0.17993554428546674,False
BTC,argmax,0,0,0.5,1,"[0.075446645195821, 0.25881492550665874, 0.11435110028385242]",0.14953755699544405,0.17993554428546674,False
BTC,argmax,0,0,0.5,5,"[0.40240510153433173, 1.181412638426952, 0.6187634292261726]",0.7341937230624854,0.17993554428546674,False
BTC,argmax,0,0,1,0,"[-0.012585937777613132, 0.05633099455317045, -0.02350396390345527]",0.006747030957367349,0.17993554428546674,False
BTC,argmax,0,0,1,1,"[0.150893290391642, 0.5176298510133175, 0.22870220056770485]",0.2990751139908881,0.17993554428546674,False
BTC,argmax,0,0,1,5,"[0.8048102030686635, 2.362825276853904, 1.2375268584523451]",1.4683874461249709,0.17993554428546674,False
BTC,argmax,0,5,0.25,0,"[0.4055520218940436, 1.167328758100019, 0.624639656063392]",0.7325068120191515,0.17993554428546674,False
BTC,argmax,0,5,0.25,1,"[0.44642182893635773, 1.282653472215056, 0.6876911971811817]",0.8055888327775319,0.17993554428546674,False
BTC,argmax,0,5,0.25,5,"[0.6099010571056129, 1.7439523286752023, 0.9398973616523421]",1.0979169158110524,0.17993554428546674,False
BTC,argmax,0,5,0.5,0,"[0.8111040437880872, 2.334657516200038, 1.249279312126784]",1.465013624038303,0.17993554428546674,False
BTC,argmax,0,5,0.5,1,"[0.8928436578727155, 2.565306944430112, 1.3753823943623633]",1.6111776655550638,0.17993554428546674,False
BTC,argmax,0,5,0.5,5,"[1.2198021142112259, 3.4879046573504047, 1.8797947233046841]",2.195833831622105,0.17993554428546674,False
BTC,argmax,0,5,1,0,"[1.6222080875761744, 4.669315032400076, 2.498558624253568]",2.930027248076606,0.17993554428546674,False
BTC,argmax,0,5,1,1,"[1.785687315745431, 5.130613888860224, 2.7507647887247266]",3.2223553311101276,0.17993554428546674,False
BTC,argmax,0,5,1,5,"[2.4396042284224517, 6.975809314700809, 3.7595894466093682]",4.39166766324421,0.17993554428546674,False
BTC,argmax,100,0,0.25,0,"[-0.002099823657922273, 0.014125724471737926, -0.005212607836264475]",0.002271097659183726,0.17993554428546674,False
