stage,asset,model,delay,factor,relative_loss,simultaneous_upper
pilot,BTC,logistic,0,depth,0.009179204794888422,
pilot,BTC,logistic,0,history,0.02043305129070853,
pilot,BTC,logistic,55,depth,-0.006219319698080173,
pilot,BTC,logistic,55,history,0.012249155138758667,
pilot,BTC,hist_gb,0,depth,0.01594487914743163,
pilot,BTC,hist_gb,0,history,0.02229651605031333,
pilot,BTC,hist_gb,55,depth,0.020958313852083667,
pilot,BTC,hist_gb,55,history,0.01906270907348114,
pilot,ETH,logistic,0,depth,-0.003898848048277409,
pilot,ETH,logistic,0,history,-0.011584601695447125,
pilot,ETH,logistic,55,depth,-0.05642217110558086,
pilot,ETH,logistic,55,history,-0.016131985457499484,
pilot,ETH,hist_gb,0,depth,0.0788182874793613,
pilot,ETH,hist_gb,0,history,0.02139904064823358,
pilot,ETH,hist_gb,55,depth,0.008939553501815776,
pilot,ETH,hist_gb,55,history,0.019923337611538354,
transfer,BTC,logistic,0,depth,0.07716563584263784,0.23923262661084635
transfer,BTC,logistic,0,history,-0.01116026096759355,0.04321925286473458
transfer,BTC,logistic,55,depth,0.015667270499904528,0.07031520422249136
transfer,BTC,logistic,55,history,-0.04734903873277862,0.0138590664686993
transfer,BTC,hist_gb,0,depth,-0.035137235636033194,0.014591628443277016
transfer,BTC,hist_gb,0,history,0.028599513172486043,0.0355088147926785
transfer,BTC,hist_gb,55,depth,-0.011948237004258793,0.016189152532111596
transfer,BTC,hist_gb,55,history,0.008541229623880993,0.011751307110638006
transfer,BTC,mlp,0,depth,-0.0010889677094815993,0.08389827016686502
transfer,BTC,mlp,0,history,0.053874413705792684,0.14052546440428446
transfer,BTC,mlp,55,depth,-0.04883079739499636,-0.026602506239724284
transfer,BTC,mlp,55,history,-0.035745076264786714,0.07148329371749323
transfer,ETH,logistic,0,depth,0.10353269680171075,0.3030540807587035
transfer,ETH,logistic,0,history,0.021481223448003583,0.0808849793950393
transfer,ETH,logistic,55,depth,0.0899663234842012,0.21865876685220234
transfer,ETH,logistic,55,history,0.004337479305475673,0.08490456553541142
transfer,ETH,hist_gb,0,depth,0.0063678585885928495,0.11209137849624483
transfer,ETH,hist_gb,0,history,0.04880871777548019,0.06842970758976444
transfer,ETH,hist_gb,55,depth,-0.012303942858006775,-0.008692635821624778
transfer,ETH,hist_gb,55,history,0.025069063482859654,0.04844029244909002
transfer,ETH,mlp,0,depth,-0.03878598364686131,0.20381504529938885
transfer,ETH,mlp,0,history,0.0821202435102359,0.13493554559431964
transfer,ETH,mlp,55,depth,-0.06777877444307275,0.1484397511599671
transfer,ETH,mlp,55,history,0.07599680861016159,0.14024431268649729
