n_train,family,datasets,mean_rps,rps_ci_low,rps_ci_high,mean_primary_cost,primary_cost_ci_low,primary_cost_ci_high,mean_primary_regret,primary_regret_ci_low,primary_regret_ci_high,mean_latent_mean_mse,latent_mean_mse_ci_low,latent_mean_mse_ci_high
32,universal,400,0.20138421813042842,0.20077087178266845,0.2019975644781884,0.4355,0.4337101845140674,0.4372898154859326,0.010499999999999999,0.008710184514067382,0.012289815485932616,1.2982288679875489,1.2932710854537735,1.3031866505213243
32,symmetric,400,0.19493724329244438,0.194752983408028,0.19512150317686078,0.42574999999999996,0.4251169372692595,0.42638306273074045,0.00075,0.00011693726925948993,0.0013830627307405102,1.25,1.25,1.25
128,universal,400,0.19600210481263722,0.19579818103521884,0.1962060285900556,0.42565625,0.42517376235698945,0.4261387376430106,0.0006562499999999999,0.00017376235698943042,0.0011387376430105694,1.2670588110360672,1.2653247539651191,1.2687928681070153
128,symmetric,400,0.1937294489753354,0.1936878333063075,0.19377106464436328,0.425,0.425,0.425,0.0,0.0,0.0,1.25,1.25,1.25
512,universal,400,0.19410336273623435,0.1940404508349318,0.1941662746375369,0.425,0.425,0.425,0.0,0.0,0.0,1.2550749085000137,1.2545338545566456,1.2556159624433818
512,symmetric,400,0.19344029522912054,0.19342929710084325,0.19345129335739783,0.425,0.425,0.425,0.0,0.0,0.0,1.25,1.25,1.25
