family,kind,metric,endpoint,value,status,n,n_F,n_A,n_N
breakout,contrast,frequency-uniform,N,-0.15669903978052113,evaluable,880,380,281,219
rebound,method,C,raw,0.3397155781596133,evaluable,865,165,465,235
rebound,method,C,frozen_mixture,0.3105771641041633,evaluable,865,165,465,235
rebound,method,C,F,0.7116103936654401,evaluable,865,165,465,235
rebound,method,C,A,0.19796741410528218,evaluable,865,165,465,235
rebound,method,C,N,0.3590783514651561,evaluable,865,165,465,235
rebound,method,P,raw,0.34110650824586836,evaluable,865,165,465,235
rebound,method,P,frozen_mixture,0.3106274974788957,evaluable,865,165,465,235
rebound,method,P,F,0.7028733153734521,evaluable,865,165,465,235
rebound,method,P,A,0.20790093598041298,evaluable,865,165,465,235
rebound,method,P,N,0.35067701006453006,evaluable,865,165,465,235
rebound,method,R,raw,0.366119587244157,evaluable,865,165,465,235
rebound,method,R,frozen_mixture,0.3181221404892094,evaluable,865,165,465,235
rebound,method,R,F,0.7736480617289951,evaluable,865,165,465,235
rebound,method,R,A,0.24604072716641934,evaluable,865,165,465,235
rebound,method,R,N,0.3175854240362833,evaluable,865,165,465,235
rebound,method,onehot-F,raw,0.8092485549132948,evaluable,865,165,465,235
rebound,method,onehot-F,frozen_mixture,0.9262981574539364,evaluable,865,165,465,235
rebound,method,onehot-F,F,0.0,evaluable,865,165,465,235
rebound,method,onehot-F,A,1.0000000000000002,evaluable,865,165,465,235
rebound,method,onehot-F,N,1.0,evaluable,865,165,465,235
rebound,method,onehot-A,raw,0.4624277456647399,evaluable,865,165,465,235
rebound,method,onehot-A,frozen_mixture,0.5376884422110553,evaluable,865,165,465,235
rebound,method,onehot-A,F,1.0000000000000002,evaluable,865,165,465,235
rebound,method,onehot-A,A,0.0,evaluable,865,165,465,235
rebound,method,onehot-A,N,1.0,evaluable,865,165,465,235
rebound,method,onehot-N,raw,0.7283236994219653,evaluable,865,165,465,235
rebound,method,onehot-N,frozen_mixture,0.5360134003350085,evaluable,865,165,465,235
rebound,method,onehot-N,F,1.0000000000000002,evaluable,865,165,465,235
rebound,method,onehot-N,A,1.0000000000000002,evaluable,865,165,465,235
rebound,method,onehot-N,N,0.0,evaluable,865,165,465,235
rebound,method,uniform,raw,0.33333333333333337,evaluable,865,165,465,235
rebound,method,uniform,frozen_mixture,0.3333333333333334,evaluable,865,165,465,235
rebound,method,uniform,F,0.3333333333333334,evaluable,865,165,465,235
rebound,method,uniform,A,0.33333333333333337,evaluable,865,165,465,235
rebound,method,uniform,N,0.33333333333333354,evaluable,865,165,465,235
rebound,method,train-frequency,raw,0.32858498915247353,evaluable,865,165,465,235
rebound,method,train-frequency,frozen_mixture,0.2827762486356966,evaluable,865,165,465,235
rebound,method,train-frequency,F,0.6435219088182401,evaluable,865,165,465,235
rebound,method,train-frequency,A,0.2549121935753586,evaluable,865,165,465,235
rebound,method,train-frequency,N,0.2532371516993117,evaluable,865,165,465,235
rebound,contrast,P-C,raw,0.0013909300862550765,evaluable,865,165,465,235
rebound,contrast,P-C,frozen_mixture,5.03333747322608e-05,evaluable,865,165,465,235
rebound,contrast,P-C,F,-0.008737078291987957,evaluable,865,165,465,235
rebound,contrast,P-C,A,0.009933521875130798,evaluable,865,165,465,235
rebound,contrast,P-C,N,-0.008401341400626247,evaluable,865,165,465,235
rebound,contrast,R-C,raw,0.02640400908454364,evaluable,865,165,465,235
rebound,contrast,R-C,frozen_mixture,0.0075449763850460655,evaluable,865,165,465,235
rebound,contrast,R-C,F,0.06203766806355508,evaluable,865,165,465,235
rebound,contrast,R-C,A,0.048073313061137185,evaluable,865,165,465,235
rebound,contrast,R-C,N,-0.041492927428872874,evaluable,865,165,465,235
rebound,contrast,R-P,raw,0.02501307899828857,evaluable,865,165,465,235
rebound,contrast,R-P,frozen_mixture,0.007494643010313801,evaluable,865,165,465,235
rebound,contrast,R-P,F,0.07077474635554304,evaluable,865,165,465,235
rebound,contrast,R-P,A,0.03813979118600638,evaluable,865,165,465,235
rebound,contrast,R-P,N,-0.03309158602824663,evaluable,865,165,465,235
rebound,contrast,C-frequency,raw,0.011130589007139782,evaluable,865,165,465,235
rebound,contrast,C-frequency,frozen_mixture,0.027800915468466685,evaluable,865,165,465,235
rebound,contrast,C-frequency,F,0.06808848484720015,evaluable,865,165,465,235
rebound,contrast,C-frequency,A,-0.056944779470076465,evaluable,865,165,465,235
rebound,contrast,C-frequency,N,0.10584119976584444,evaluable,865,165,465,235
rebound,contrast,P-frequency,raw,0.012521519093394856,evaluable,865,165,465,235
rebound,contrast,P-frequency,frozen_mixture,0.027851248843198957,evaluable,865,165,465,235
rebound,contrast,P-frequency,F,0.05935140655521219,evaluable,865,165,465,235
rebound,contrast,P-frequency,A,-0.04701125759494567,evaluable,865,165,465,235
rebound,contrast,P-frequency,N,0.09743985836521822,evaluable,865,165,465,235
rebound,contrast,R-frequency,raw,0.03753459809168343,evaluable,865,165,465,235
rebound,contrast,R-frequency,frozen_mixture,0.03534589185351276,evaluable,865,165,465,235
rebound,contrast,R-frequency,F,0.13012615291075524,evaluable,865,165,465,235
rebound,contrast,R-frequency,A,-0.008871466408939287,evaluable,865,165,465,235
rebound,contrast,R-frequency,N,0.06434827233697159,evaluable,865,165,465,235
rebound,contrast,frequency-uniform,raw,-0.004748344180859852,evaluable,865,165,465,235
rebound,contrast,frequency-uniform,frozen_mixture,-0.05055708469763672,evaluable,865,165,465,235
rebound,contrast,frequency-uniform,F,0.3101885754849063,evaluable,865,165,465,235
rebound,contrast,frequency-uniform,A,-0.07842113975797468,evaluable,865,165,465,235
rebound,contrast,frequency-uniform,N,-0.08009618163402162,evaluable,865,165,465,235
breakout,joint_component,R-C,raw,0.0005820301388752499,evaluable,880,380,281,219
breakout,joint_component,R-C,fixed_class,-0.013366812943067808,evaluable,880,380,281,219
breakout,joint_component,R-C,favorable_conditional,0.01667371464428991,evaluable,880,380,281,219
