family,endpoint,metric,status,delta,mix,within,mix_F,mix_A,mix_N,within_F,within_A,within_N
breakout,pooled,C,evaluable,0.023057061424944736,0.035485980719420135,-0.012428919294475437,0.025138002418091457,0.02099492471476422,-0.01064694641343554,-0.014381774592390921,0.003255179381794012,-0.0013023240838785275
breakout,pooled,P,evaluable,0.029896545507247352,0.03698865519131546,-0.0070921096840681755,0.02576217725979376,0.02091003852725073,-0.00968356059572903,-0.008305533077370718,0.00531321652047619,-0.0040997931271736475
breakout,pooled,R,evaluable,0.0425607723200529,0.03945788040332722,0.0031028919167257266,0.025468532999025333,0.02202306949089271,-0.008033722086590827,0.0036660608201290875,0.0036745902302132705,-0.0042377591336166314
breakout,pooled,onehot-F,evaluable,-0.05397325603556313,-0.05397325603556381,3.872132904638913e-17,0.0,0.03097451035143009,-0.0849477663869939,0.0,3.872132904638913e-17,0.0
breakout,pooled,onehot-A,evaluable,-0.030974510351428286,-0.030974510351429792,2.0033526962361324e-16,0.05397325603556411,0.0,-0.0849477663869939,2.0033526962361324e-16,0.0,0.0
breakout,pooled,onehot-N,evaluable,0.08494776638699386,0.0849477663869942,2.3905659867000236e-16,0.05397325603556411,0.03097451035143009,-0.0,2.0033526962361324e-16,3.872132904638913e-17,0.0
breakout,pooled,uniform,evaluable,-2.220446049250313e-16,1.1275702593849246e-16,2.527677578077402e-16,0.017991085345188042,0.010324836783810023,-0.02831592212899795,1.168622406137744e-16,1.9360664523194565e-17,1.165448526707712e-16
breakout,pooled,train-frequency,evaluable,0.022670620855985035,0.022670620855984907,-9.750157609057983e-17,0.01976845650251613,0.01790685305812475,-0.015004688704655971,-1.168622406137744e-16,1.9360664523194565e-17,0.0
breakout,pooled,P-C,evaluable,0.006839484082302637,0.0015026744718953182,0.0053368096104073216,0.0006241748417022991,-8.488618751349375e-05,0.0009633858177065129,0.0060762415150202006,0.002058037138682217,-0.002797469043295096
breakout,pooled,R-C,evaluable,0.019503710895108356,0.0039718996839070665,0.015531811211201296,0.00033053058093387,0.0010281447761284804,0.002613224326844716,0.018047835412520044,0.00041941084841932015,-0.002935435049738069
breakout,pooled,R-P,evaluable,0.01266422681280572,0.00246922521201175,0.010195001600793965,-0.00029364426076842885,0.0011130309636419747,0.001649838509138204,0.011971593897499841,-0.0016386262902629014,-0.0001379660064429744
breakout,pooled,C-frequency,evaluable,0.0003864405689597396,0.012815359863435244,-0.012428919294475507,0.005369545915575337,0.003088071656639473,0.004357742291220434,-0.014381774592390949,0.0032551793817939736,-0.0013023240838785312
breakout,pooled,P-frequency,evaluable,0.0072259246512623755,0.014318034335330559,-0.007092109684068178,0.005993720757277634,0.0030031854691259787,0.005321128108926946,-0.008305533077370735,0.00531321652047619,-0.004099793127173633
breakout,pooled,R-frequency,evaluable,0.019890151464068098,0.01678725954734231,0.0031028919167257947,0.005700076496509206,0.004116216432767952,0.006970966618065149,0.003666060820129104,0.0036745902302132995,-0.004237759133616609
breakout,pooled,frequency-uniform,evaluable,0.022670620855984792,0.02267062085598477,4.024479117280444e-17,0.0017773711573280731,0.007582016274314726,0.013311233424341972,-8.347302900983885e-18,-9.680332261597282e-18,5.82724263353856e-17
rebound,equal_day,C,evaluable,0.008828544614299827,0.008453083074334,0.00037546153996556304,0.011798794413951907,0.01286419770703864,-0.016209909046656548,0.001779969412379146,0.0032980208760459867,-0.00470252874845957
rebound,equal_day,P,evaluable,0.008005998856796093,0.009436738627642851,-0.0014307397708466511,0.011980869008968179,0.013166020994737942,-0.01571015137606327,0.0010545062552775046,0.004388606154017121,-0.006873852180141277
rebound,equal_day,R,evaluable,0.018077130381136786,0.014875103474737585,0.003202026906399185,0.012991601223013701,0.015625451789581902,-0.013741949537858018,-0.000970381824595749,0.004561886867841037,-0.0003894781368461029
rebound,equal_day,onehot-F,evaluable,-0.01662263987489676,-0.016622639874896712,3.044207426167365e-16,0.0,0.04616557617778965,-0.06278821605268636,0.0,1.910821140371984e-16,1.1333862857953811e-16
rebound,equal_day,onehot-A,evaluable,-0.046165576177789935,-0.04616557617778991,1.3308600756987906e-16,0.01662263987489646,0.0,-0.06278821605268636,1.974737899034094e-17,0.0,1.1333862857953811e-16
rebound,equal_day,onehot-N,evaluable,0.06278821605268597,0.06278821605268611,2.1082949302753935e-16,0.01662263987489646,0.04616557617778965,-0.0,1.974737899034094e-17,1.910821140371984e-16,0.0
rebound,equal_day,uniform,evaluable,1.1102230246251565e-16,-7.546047120499111e-17,-3.442234983859543e-17,0.005540879958298822,0.01538852539259657,-0.020929405350895467,0.0,-1.19426321273249e-16,8.500397143465358e-17
rebound,equal_day,train-frequency,evaluable,0.006564892239578846,0.006564892239578962,-8.404018810733368e-18,0.010697032941891558,0.01176816829115069,-0.015900308993463286,6.58245966344698e-18,-7.16557927639494e-17,5.666931428976906e-17
rebound,equal_day,P-C,evaluable,-0.0008225457575034708,0.0009836555533088447,-0.0018062013108123155,0.00018207459501627213,0.000301823287699299,0.0004997576705932735,-0.000725463157101632,0.0010905852779711134,-0.002171323431681797
rebound,equal_day,R-C,evaluable,0.00924858576683716,0.006422020400403588,0.002826565366433567,0.0011928068090617972,0.002761254082543264,0.002467959508798527,-0.0027503512369748957,0.0012638659917950294,0.004313050611613433
rebound,equal_day,R-P,evaluable,0.010071131524340634,0.005438364847094742,0.0046327666772458895,0.0010107322140455247,0.0024594307948439644,0.0019682018382052528,-0.0020248880798732632,0.00017328071382392553,0.006484374043295227
rebound,equal_day,C-frequency,evaluable,0.0022636523747206275,0.0018881908347550545,0.0003754615399655715,0.0011017614720603495,0.0010960294158879563,-0.0003096000531932514,0.001779969412379141,0.0032980208760459958,-0.004702528748459565
rebound,equal_day,P-frequency,evaluable,0.00144110661721715,0.0028718463880638995,-0.001430739770846745,0.0012838360670766216,0.0013978527035872557,0.00019015761740002215,0.0010545062552775087,0.004388606154017105,-0.006873852180141359
rebound,equal_day,R-frequency,evaluable,0.01151223814155779,0.008310211235158642,0.00320202690639913,0.0022945682811221463,0.003857283498431221,0.0021583594556052743,-0.0009703818245957531,0.004561886867841025,-0.00038947813684614185
rebound,equal_day,frequency-uniform,evaluable,0.006564892239578991,0.0065648922395790225,-1.1533057176455862e-17,0.005156152983592736,-0.003620357101445872,0.005029096357432159,0.0,2.38852642546498e-17,-3.541832143110566e-17
