family,group,endpoint,metric,n,raw,standardized_group_conditionals,q_F,q_A,q_N,ell_F,ell_A,ell_N
breakout,May-Jul,equal_day,C,774,0.27818012473478776,0.3143533437387076,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.4801974043437414,0.6827326190973859,0.11828314570696795
breakout,May-Jul,equal_day,P,774,0.2721169321852793,0.31077849391108453,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.4910459443589534,0.6800683665016329,0.10522058184854949
breakout,May-Jul,equal_day,R,774,0.26354197099635,0.3027887381777247,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.48146906799980904,0.7126379338722042,0.08839388933834176
breakout,May-Jul,equal_day,onehot-F,774,0.764917359569312,0.659259259259259,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.0,0.9999999999999992,0.9999999999999999
breakout,May-Jul,equal_day,onehot-A,774,0.8674509889280686,0.8711111111111107,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.9999999999999993,0.0,0.9999999999999999
breakout,May-Jul,equal_day,onehot-N,774,0.36763165150261906,0.4696296296296293,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.9999999999999993,0.9999999999999992,0.0
breakout,May-Jul,equal_day,uniform,774,0.33333333333333337,0.33333333333333365,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.33333333333333354,0.3333333333333336,0.3333333333333337
breakout,May-Jul,equal_day,train-frequency,774,0.27442890092410294,0.2929953360768174,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.36626392318244155,0.5781157750342927,0.17663429355281207
breakout,May-Jul,equal_day,P-C,774,-0.006063192549508532,-0.003574849827623076,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.010848540015211825,-0.0026642525957526926,-0.01306256385841847
breakout,May-Jul,equal_day,R-C,774,-0.014638153738437815,-0.011564605560982825,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.00127166365606758,0.02990531477481863,-0.029889256368626178
breakout,May-Jul,equal_day,R-P,774,-0.008574961188929281,-0.007989755733359749,0.23508264043068794,0.1325490110719313,0.6323683484973806,-0.009576876359144249,0.032569567370571324,-0.016826692510207703
breakout,May-Jul,equal_day,C-frequency,774,0.0037512238106847907,0.021358007661890048,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.1139334811612998,0.10461684406309238,-0.058351147845844144
breakout,May-Jul,equal_day,P-frequency,774,-0.0023119687388237407,0.017783157834266972,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.1247820211765116,0.1019525914673397,-0.07141371170426261
breakout,May-Jul,equal_day,R-frequency,774,-0.010886929927753025,0.009793402100907206,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.11520514481736732,0.13452215883791102,-0.08824040421447032
breakout,May-Jul,equal_day,frequency-uniform,774,-0.05890443240923031,-0.04033799725651584,0.23508264043068794,0.1325490110719313,0.6323683484973806,0.032930589849108294,0.24478244170096017,-0.1566990397805213
breakout,May-Jul,pooled,C,774,0.2885704943989897,0.3125363809490679,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.46574922960970666,0.6778129654532178,0.1253352132289339
breakout,May-Jul,pooled,P,774,0.28411534170872077,0.31010877416646876,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.4773137504029495,0.6750724479583361,0.11399429328858322
breakout,May-Jul,pooled,R,774,0.2760822846382434,0.3025856734254599,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.47187319924229804,0.7110062190176287,0.0945724935249251
breakout,May-Jul,pooled,onehot-F,774,0.7532299741602067,0.6592592592592594,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.0,1.0,1.0000000000000004
breakout,May-Jul,pooled,onehot-A,774,0.8565891472868215,0.8711111111111111,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.9999999999999991,0.0,1.0000000000000004
